T Finance Profitability Home Page Id,Period Date,Company Name,Unit Name,Project Name,Swa Jo,Project Owner,Category Project,Source Of Fund,Project Type,Revenue Plan Monthly,Revenue Actual Monthly,Revenue Plan Ytd,Revenue Actual Ytd,Revenue Ytd Vs Plan Percentage,Ebitda Plan Monthly,Ebitda Actual Monthly,Ebitda Plan Ytd,Ebitda Actual Ytd,Ebitda Ytd Vs Plan Percentage,Ebitda Margin Plan Monthly Percentage,Ebitda Margin Actual Monthly Percentage,Ebitda Margin Plan Ytd Percentage,Ebitda Margin Actual Ytd Percentage,Ebitda Margin Ytd Vs Plan Percentage,Net Profit Plan Monthly,Net Profit Actual Monthly,Net Profit Plan Ytd,Net Profit Actual Ytd,Net Profit Ytd Vs Plan Percentage,Net Profit Margin Plan Monthly Percentage,Net Profit Margin Actual Monthly Percentage,Net Profit Margin Plan Ytd Percentage,Net Profit Margin Actual Ytd Percentage,Net Profit Vs Plan Percentage,Irr Plan Percentage,Irr Actual Percentage,Ebitda Margin Actual Monthly,Ebitda Margin Plan Monthly,Created By,Created At,Updated By,Updated At,Pendapatan Pengurang,Pendapatan Pembagi,Biaya Ebitda,Biaya Npm,Depre,Cost,Pendapatan Pengurang Lalu,Pendapatan Pembagi Lalu,Biaya Ebitda Lalu,Biaya Npm Lalu,Depre Lalu,Cost Lalu
3617,2023-01-31,Company C,Unit 1,Project Y,Yes,Owner 1,Category A,Fund 3,Type 3,38841.26663406338,11285.059815569051,459424.9447262843,323702.2225287667,-4.054916197840647,1724.690989389364,4912.612150175399,41447.353537311,38183.98488768973,-3.86632493743039,40.84343910123417,29.621958586464253,48.05865044272739,11.709482021474127,8.047490686779916,8227.990818253322,9223.990618476815,91168.82716698865,240694.9776724164,-8.691590325514184,21.161960567631283,10.939968622078455,22.085921445259167,5.9478433770859525,3.701680685409281,9.746840540397415,1.5942575223942457,10.675036771286228,37.60362264849723,User B,2022-01-01,User B,2023-01-01,2754.052574254865,2570.8445432281565,1886.4036244645874,1733.9344554781326,257.82380211027703,4892.8463410346485,1704.9636473419132,1423.5539639873919,1283.3638308928275,2340.388767840759,565.8363731439547,4360.323171788951
5360,2023-02-28,Company B,Unit 1,Project Z,Yes,Owner 2,Category A,Fund 2,Type 3,26385.0090249642,26615.538303602596,155156.46413625524,394616.86637978797,3.9550672168054657,1457.3146237763056,1380.0056407759391,27718.984938623864,29493.098280771603,-4.929086000614826,22.751103243472027,29.242102981294376,15.398466866535658,38.127966155970554,-7.985798072050536,10706.48332539521,23137.70637615519,219724.8218476821,82825.51102548596,1.902133039762317,7.760841814966913,17.124180400048576,16.473250469068017,6.961428954561429,2.855390942598701,9.682490094109225,1.8979291353029684,19.446679819299447,22.824035800192096,User C,2022-01-02,User B,2023-01-02,4318.79576798101,2720.7679909162607,913.0617140103086,1112.1128965844932,682.8687154750314,3335.9236124827657,3159.3525707972562,4283.0593282447135,1639.3349978521196,568.8765416664901,755.126667816399,8683.242791092827
3775,2023-03-31,Company B,Unit 2,Project Y,No,Owner 2,Category C,Fund 1,Type 2,36219.60377777065,18625.921368657393,231075.84476131856,127271.84744663797,-8.05435575395649,3850.1229205907885,3685.9386011245315,11104.69156902896,10369.35562047332,-6.346340165240692,12.137123585704789,22.193075455654338,36.10816470562118,37.405721826614894,4.5152392468921825,6463.975131812691,13076.718003302325,153930.90534509922,128419.20954308785,4.271764646936788,24.66596044383899,16.392372220167054,14.818570037695176,9.450014691539959,-0.7493258952141204,8.937270890836462,3.253348022243584,18.443665031871515,21.171424152300933,User C,2022-01-03,User B,2023-01-03,4924.480563784101,4641.878651632216,2319.8605266097384,738.2798702430637,575.5443477277888,7679.607890872894,2871.25865686616,2880.322734010487,2076.3054041924306,1301.1981459710769,717.3309533478234,7374.3300474386
5122,2023-04-30,Company A,Unit 2,Project Y,Yes,Owner 2,Category C,Fund 3,Type 1,29016.253798063077,12498.532188233256,306869.83730174915,200462.68159352176,-4.550510560925167,1866.8643329254157,2198.2052261626386,11189.10874302057,35069.855807309665,1.04654260379675,23.62236853911583,24.743691412798327,16.000109653484557,10.371821780281083,9.160326158917165,22440.612665187964,23523.58162889219,216452.26790948864,235576.35192222512,-4.245049232825662,18.680572231228787,21.725726549268426,19.256325634833566,16.75869641696613,3.8638709115026586,4.843045068653892,9.852341296980772,30.0471448117731,25.654796336049852,User A,2022-01-04,User C,2023-01-04,3667.9447335564605,2096.8181155459424,815.5433972914834,2444.7168066674267,812.4477582105138,6633.009801266392,4613.169240732429,3389.2229830092147,1621.9492054797695,1370.5497008358207,599.0851872878061,8925.689971193571
5348,2023-05-31,Company B,Unit 2,Project X,No,Owner 1,Category C,Fund 3,Type 3,33558.99151784745,36174.2390705423,166763.6769384601,465457.48596913676,6.929480910648238,2452.418231313737,2487.5363940622024,11096.396343175235,43458.23414277552,5.524561121315653,35.81442349459162,33.47336121513662,47.129144814691216,17.722112713727526,6.536733358987348,5872.189771242324,10964.168644935797,131733.02052815168,127310.39904346949,8.062502215763004,23.319165868871842,10.048937844755823,19.092798791690754,18.78712869307992,5.0699463242661515,7.194597940290015,2.9751294526950365,31.891678265812274,45.56281293664441,User C,2022-01-05,User B,2023-01-05,3344.4439370976743,4509.331971651487,1807.4479518168826,1741.894580039281,810.4733704275399,3459.2882044728876,2134.6150587978564,2520.193621545789,1905.7302435481718,964.5723099271374,506.5345829978445,7598.2383178872715
1766,2023-06-30,Company B,Unit 3,Project Z,No,Owner 2,Category C,Fund 1,Type 3,33269.99548648442,38742.462546136354,470498.9001122817,475313.23832278576,-0.30877345767722275,1434.4565672618082,3582.723473462781,47226.56602931833,36947.84008821637,-0.969906861004727,47.21604344031142,42.65639229949987,24.820258410742802,14.299162467958233,-4.696598662852165,19087.54062595132,13502.794825035173,219072.97935955285,113142.80396457939,-9.780697396762301,8.605605288615832,8.288131942746313,16.79992147154434,24.828003718989564,0.30721375501703996,5.3445558486630524,1.3421760312966264,48.31401532873758,49.524957598373,User A,2022-01-06,User A,2023-01-06,1737.0088845366909,2171.7717354699626,1564.7760298833887,1564.310757444583,699.5109040452564,2868.320162627464,2846.087033198935,4938.003372398867,1068.8806868834063,1373.9172282432114,610.8588739152931,2632.918911635481
5721,2023-07-31,Company B,Unit 1,Project Y,Yes,Owner 1,Category C,Fund 2,Type 3,15692.943030755227,46474.0753976306,278919.98849631555,447865.75771065895,-5.26631480836145,4080.6737966472947,1673.6822050329758,44613.45712388822,45754.97335442216,-7.77616546303872,35.40478702818491,35.91444214707764,19.769566650486972,45.54180715059755,8.025247950570748,10245.371397291603,13602.940979311157,243284.22063229696,241254.47175494762,5.701207138098599,20.652430380541134,7.5297183778458905,10.998574527506452,16.4698450124488,7.393440944102853,9.50217520057382,6.994742369305768,36.25111465612602,44.0407698458427,User A,2022-01-07,User C,2023-01-07,1074.29668579832,4682.086120546888,1519.3306706536189,695.1340328428346,594.284664529866,4741.414231484907,2932.535390303108,3623.2941498246705,2160.882209708675,1751.7125693584362,726.3717212858608,4032.114206255653
5399,2023-08-31,Company A,Unit 1,Project Z,No,Owner 3,Category B,Fund 2,Type 3,43445.122667444324,23027.260342302645,168481.8894565921,198222.65122873537,-8.063964783048652,4933.0967804574375,3373.2423631038346,23964.543288640514,19656.276637631818,0.6156021117773935,44.55178767095978,33.86414205464037,47.46392279966312,14.276941008094504,5.2047867645792145,6845.477366277022,17463.548032188766,113547.08961245744,54716.538132522044,-4.546817766649429,5.583768414914887,15.880342777843438,16.310110624084864,24.727730728346703,-7.351137361361799,3.6496080047800197,5.33946655983404,40.20543150275188,34.28697284518269,User C,2022-01-08,User C,2023-01-08,2254.23049004138,3832.7176588370926,977.3650318775951,2330.5744298388327,769.9232098528115,4683.663947856909,3135.55300203659,4497.817966691087,612.4439910301551,1173.819637341848,328.7933143651004,2190.3307399051073
1085,2023-09-30,Company A,Unit 2,Project Y,No,Owner 1,Category A,Fund 2,Type 2,28723.209929364442,33321.36153367463,308101.0256466522,397016.91733878606,-7.453876452735826,4869.212375060107,2989.7805503496597,34760.22473233822,40608.95865827039,-0.13270202324030578,24.745972582547694,10.287613825872132,20.045678155795677,43.514540186732205,3.1749317625388844,8117.164196876845,14469.722508349578,85384.98109547883,236751.30415505276,-8.660497681184413,10.15087367260308,14.036460656326726,11.772622665316053,7.323225072423116,-6.5284687930830065,3.716444163159934,4.410862132846697,36.67321193598545,23.716955842470057,User B,2022-01-09,User A,2023-01-09,4639.835140561288,2391.2376172373315,756.9137103204524,799.8681278683944,510.2393808703427,9927.620761476608,1349.9905171167516,4116.565264757052,1911.7513930772764,2123.6606702332133,905.1133362309768,4566.583297236476
3592,2023-10-31,Company B,Unit 1,Project X,Yes,Owner 3,Category A,Fund 1,Type 2,44370.73092260832,44009.77529860663,475863.4651427533,331450.0644213378,-4.594332361340692,4668.40250985913,1388.5222264229835,28696.16966830476,36615.60543639333,1.167876654566328,41.44388259033981,31.36004693470349,37.24198569821355,29.160691834958122,-7.816586053533507,13698.362004296421,21111.06668932511,247468.64216243013,213421.50288628007,5.550269449473301,16.69636669267244,22.23565622580661,8.197774438183739,19.334384764283918,9.50683186348488,1.3251784359135816,5.2865060518868585,26.48961633414298,18.23975825180931,User B,2022-01-10,User B,2023-01-10,1839.9670223233738,4087.8650015034004,1631.8128504829688,675.6420370993317,776.5702518629782,5619.332026786678,1536.5656635710843,3115.0329355491267,1896.2710866469736,2066.073878899547,654.81047954471,3651.453238049334
